run_id,session_label,batteries,type_agreement,with_brand_or_part,video
0,li_ion_laptop,0,0,0,li_ion_laptop_run0/pipeline.mp4
1,li_ion_laptop,1,1,0,li_ion_laptop_run1/pipeline.mp4
2,li_ion_laptop,2,2,1,li_ion_laptop_run2/pipeline.mp4
3,li_ion_laptop,5,4,1,li_ion_laptop_run3/pipeline.mp4
4,li_ion_laptop,6,6,3,li_ion_laptop_run4/pipeline.mp4
5,li_ion_laptop,5,5,2,li_ion_laptop_run5/pipeline.mp4
6,li_ion_laptop,4,4,1,li_ion_laptop_run6/pipeline.mp4
7,li_ion_laptop,4,4,2,li_ion_laptop_run7/pipeline.mp4
8,li_ion_laptop,4,4,3,li_ion_laptop_run8/pipeline.mp4
9,li_ion_laptop,4,4,2,li_ion_laptop_run9/pipeline.mp4
10,li_ion_laptop,3,3,1,li_ion_laptop_run10/pipeline.mp4
11,li_ion_laptop,7,6,3,li_ion_laptop_run11/pipeline.mp4
12,li_ion_laptop,7,6,1,li_ion_laptop_run12/pipeline.mp4
13,li_ion_laptop,5,5,4,li_ion_laptop_run13/pipeline.mp4
14,li_ion_laptop,10,10,1,li_ion_laptop_run14/pipeline.mp4
15,li_ion_laptop,9,6,2,li_ion_laptop_run15/pipeline.mp4
16,li_ion_laptop,4,4,0,li_ion_laptop_run16/pipeline.mp4
17,li_ion_laptop,7,7,2,li_ion_laptop_run17/pipeline.mp4
18,li_ion_laptop,0,0,0,li_ion_laptop_run18/pipeline.mp4
19,li_ion_laptop,4,4,1,li_ion_laptop_run19/pipeline.mp4
20,li_ion_laptop,4,4,2,li_ion_laptop_run20/pipeline.mp4
21,li_ion_mobile,1,1,0,li_ion_mobile_run21/pipeline.mp4
22,li_ion_mobile,3,3,1,li_ion_mobile_run22/pipeline.mp4
23,li_ion_mobile,3,3,1,li_ion_mobile_run23/pipeline.mp4
24,li_ion_mobile,3,3,0,li_ion_mobile_run24/pipeline.mp4
25,li_ion_mobile,2,1,0,li_ion_mobile_run25/pipeline.mp4
26,li_ion_mobile,1,1,0,li_ion_mobile_run26/pipeline.mp4
27,li_ion_mobile,2,2,1,li_ion_mobile_run27/pipeline.mp4
28,li_ion_mobile,2,2,0,li_ion_mobile_run28/pipeline.mp4
29,li_ion_mobile,2,2,1,li_ion_mobile_run29/pipeline.mp4
30,li_ion_mobile,1,1,0,li_ion_mobile_run30/pipeline.mp4
31,li_ion_mobile,16,12,0,li_ion_mobile_run31/pipeline.mp4
32,li_ion_mobile,6,6,0,li_ion_mobile_run32/pipeline.mp4
33,li_ion_mobile,12,12,0,li_ion_mobile_run33/pipeline.mp4
34,li_ion_mobile,2,2,0,li_ion_mobile_run34/pipeline.mp4
35,li_ion_mobile,1,1,0,li_ion_mobile_run35/pipeline.mp4
36,li_ion_mobile,3,3,0,li_ion_mobile_run36/pipeline.mp4
37,li_ion_mobile,1,1,0,li_ion_mobile_run37/pipeline.mp4
38,li_ion_mobile,1,1,0,li_ion_mobile_run38/pipeline.mp4
39,li_ion_mobile,1,1,0,li_ion_mobile_run39/pipeline.mp4
40,li_ion_mobile,24,24,12,li_ion_mobile_run40/pipeline.mp4
41,li_ion_mobile,11,11,0,li_ion_mobile_run41/pipeline.mp4
42,li_ion_mobile,5,5,3,li_ion_mobile_run42/pipeline.mp4
43,li_ion_mobile,10,10,1,li_ion_mobile_run43/pipeline.mp4
44,li_ion_mobile,7,7,0,li_ion_mobile_run44/pipeline.mp4
45,li_ion_mobile,8,8,3,li_ion_mobile_run45/pipeline.mp4
46,li_ion_mobile,10,10,2,li_ion_mobile_run46/pipeline.mp4
47,li_ion_mobile,12,12,0,li_ion_mobile_run47/pipeline.mp4
48,li_ion_mobile,12,12,3,li_ion_mobile_run48/pipeline.mp4
49,li_ion_mobile,8,8,0,li_ion_mobile_run49/pipeline.mp4
50,li_ion_mobile,10,10,2,li_ion_mobile_run50/pipeline.mp4
51,li_ion_mobile,44,44,8,li_ion_mobile_run51/pipeline.mp4
52,li_ion_mobile,17,17,2,li_ion_mobile_run52/pipeline.mp4
53,li_ion_mobile,12,12,3,li_ion_mobile_run53/pipeline.mp4
