crop,track_id,label,manufacturer,chemistry,model,voltage,capacity,marks,n_chars
li_ion_laptop__run10__id001_c0.96.jpg,1,li_ion_laptop,"Huawei","Li-ion","HB497689ECW","3.7V","2200mAh","CE;RoHS",49
li_ion_laptop__run10__id002_c0.89.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run10__id004_c0.95.jpg,4,li_ion_laptop,"","Li-ion","","3.7V","2200mAh","CE;WEEE",37
li_ion_laptop__run11__id001_c0.94.jpg,1,li_ion_laptop,"Dell","Li-ion","MWE5E","11.55V","41Wh","CE;WEEE",47
li_ion_laptop__run11__id002_c0.94.jpg,2,li_ion_laptop,"","Li-ion","Y0702","11.55V","3600mAh","CE;RoHS",41
li_ion_laptop__run11__id003_c0.93.jpg,3,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run11__id004_c0.89.jpg,4,li_ion_laptop,"","Li-ion","V7100","11.55V","41Wh","CE;WEEE",30
li_ion_laptop__run11__id005_c0.88.jpg,5,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_laptop__run11__id006_c0.90.jpg,6,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;WEEE",28
li_ion_laptop__run11__id014_c0.76.jpg,14,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run12__id001_c0.94.jpg,1,li_ion_laptop,"Panasonic","Li-ion","BPL03XL","11.55V","3600mAh","CE;WEEE",48
li_ion_laptop__run12__id002_c0.92.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run12__id003_c0.86.jpg,3,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_laptop__run12__id004_c0.90.jpg,4,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run12__id005_c0.92.jpg,5,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run12__id006_c0.92.jpg,6,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run12__id007_c0.83.jpg,7,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_laptop__run13__id001_c0.94.jpg,1,li_ion_laptop,"Dell","Li-ion","XPS 15 9570","11.55V","41Wh","CE;WEEE",42
li_ion_laptop__run13__id002_c0.91.jpg,2,li_ion_laptop,"","Li-ion","","3.7V","3380mAh","CE;WEEE",25
li_ion_laptop__run13__id003_c0.90.jpg,3,li_ion_laptop,"","Li-ion","0C62","11.55V","3600mAh","CE;WEEE",31
li_ion_laptop__run13__id004_c0.79.jpg,4,li_ion_laptop,"","Li-ion","S4100","11.55V","41Wh","CE;WEEE;UL;RoHS",36
li_ion_laptop__run13__id018_c0.81.jpg,18,li_ion_laptop,"Dell","Li-ion","52WH","11.55V","52Wh","CE;WEEE",32
li_ion_laptop__run14__id001_c0.93.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run14__id002_c0.93.jpg,2,li_ion_laptop,"Dell","Li-ion","0P278","11.55V","41Wh","CE;WEEE;UL;RoHS",39
li_ion_laptop__run14__id003_c0.93.jpg,3,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",33
li_ion_laptop__run14__id004_c0.89.jpg,4,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run14__id005_c0.86.jpg,5,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_laptop__run14__id007_c0.84.jpg,7,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_laptop__run14__id008_c0.93.jpg,8,li_ion_laptop,"","","","","","CE;WEEE",11
li_ion_laptop__run14__id009_c0.91.jpg,9,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run14__id017_c0.79.jpg,17,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_laptop__run14__id018_c0.89.jpg,18,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_laptop__run15__id001_c0.94.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE;RoHS",60
li_ion_laptop__run15__id002_c0.92.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_laptop__run15__id003_c0.77.jpg,3,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_laptop__run15__id004_c0.91.jpg,4,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_laptop__run15__id005_c0.93.jpg,5,li_ion_laptop,"Dell","Li-ion","29WHU","11.55V","41Wh","CE;RoHS",33
li_ion_laptop__run15__id006_c0.93.jpg,6,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_laptop__run15__id008_c0.95.jpg,8,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",22
li_ion_laptop__run15__id009_c0.92.jpg,9,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",27
li_ion_laptop__run15__id011_c0.63.jpg,11,li_ion_laptop,"HP","Li-ion","L12M3Y01","11.55V","41Wh","CE;WEEE;UL;RoHS;recycle",45
li_ion_laptop__run16__id001_c0.93.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE;UL;RoHS;recycle",48
li_ion_laptop__run16__id003_c0.94.jpg,3,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",27
li_ion_laptop__run16__id004_c0.93.jpg,4,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_laptop__run16__id005_c0.94.jpg,5,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run17__id001_c0.89.jpg,1,li_ion_laptop,"DELL","Li-ion","P42F48","11.55V","41Wh","CE;WEEE;RoHS",58
li_ion_laptop__run17__id002_c0.92.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",27
li_ion_laptop__run17__id003_c0.92.jpg,3,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",27
li_ion_laptop__run17__id006_c0.85.jpg,6,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",25
li_ion_laptop__run17__id007_c0.91.jpg,7,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE;UL;RoHS",33
li_ion_laptop__run17__id009_c0.89.jpg,9,li_ion_laptop,"DELL","Li-ion","","11.55V","3600mAh","CE;WEEE",31
li_ion_laptop__run17__id010_c0.91.jpg,10,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_laptop__run19__id001_c0.92.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run19__id002_c0.92.jpg,2,li_ion_laptop,"","Li-ion","DSTT","11.55V","45Wh","CE;WEEE",28
li_ion_laptop__run19__id003_c0.92.jpg,3,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",26
li_ion_laptop__run19__id004_c0.94.jpg,4,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run1__id001_c0.89.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run20__id001_c0.94.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE;RoHS",26
li_ion_laptop__run20__id002_c0.94.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",27
li_ion_laptop__run20__id003_c0.94.jpg,3,li_ion_laptop,"","Li-ion","12000855","11.55V","3600mAh","CE;WEEE",39
li_ion_laptop__run20__id005_c0.94.jpg,5,li_ion_laptop,"","Li-ion","L-1011","11.55V","3600mAh","CE;WEEE;UL;RoHS;recycle",46
li_ion_laptop__run2__id002_c0.92.jpg,2,li_ion_laptop,"Dell","Li-ion","","11.1V","4400mAh","CE;WEEE",30
li_ion_laptop__run2__id006_c0.90.jpg,6,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run3__id001_c0.89.jpg,1,li_ion_laptop,"Dell","Li-ion","25Wh","11.55V","3600mAh","CE;WEEE",35
li_ion_laptop__run3__id002_c0.93.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE;RoHS",26
li_ion_laptop__run3__id004_c0.94.jpg,4,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_laptop__run3__id010_c0.92.jpg,10,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_laptop__run3__id015_c0.94.jpg,15,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;WEEE",24
li_ion_laptop__run4__id001_c0.95.jpg,1,li_ion_laptop,"","Li-ion","GT-10U","11.55V","3600mAh","CE;RoHS",33
li_ion_laptop__run4__id003_c0.94.jpg,3,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run4__id008_c0.88.jpg,8,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",27
li_ion_laptop__run4__id011_c0.93.jpg,11,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;RoHS",22
li_ion_laptop__run4__id013_c0.89.jpg,13,li_ion_laptop,"","Li-ion","LX6092","11.55V","3600mAh","CE;RoHS",35
li_ion_laptop__run4__id017_c0.93.jpg,17,li_ion_laptop,"","Li-ion","B403XT","11.55V","41Wh","CE;WEEE",32
li_ion_laptop__run5__id001_c0.93.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;RoHS;Recycle",40
li_ion_laptop__run5__id002_c0.93.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",23
li_ion_laptop__run5__id008_c0.93.jpg,8,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run5__id012_c0.95.jpg,12,li_ion_laptop,"","Li-ion","TT-100","11.55V","3600mAh","CE;WEEE",33
